Nome_Municipio,UF,Taxa_Alfabetizacao,Pop_Alfabetizada,Populacao_Total,Vulnerabilidade_Real,Vulnerabilidade_Prevista,Score_Previsao,Previsao_Correta,prop_15_19,prop_20_24,prop_25_34,prop_35_44,prop_45_54,prop_55_64,prop_65_mais,prop_brancos,prop_pretos,prop_pardos,prop_amarelos,prop_indigenas,prop_homens,prop_mulheres
Jaramataia,AL,68.76,2553,3713,Alta,Alta,1.0,True,0.11769458658766496,0.09668731483975222,0.19256665768920012,0.18691085375706976,0.1564772421222731,0.1257743064907083,0.12388903851333154,0.2372744411527067,0.08483705898195529,0.6773498518718017,0.0,0.0005386479935362241,0.47966603824400755,0.5203339617559924
Capanema,PA,90.06,49742,55231,Média,Média,1.0,True,0.10553855624558672,0.10599120059386939,0.20700331335662944,0.20633339972117107,0.1547681555648096,0.10957614383226812,0.11078923068566567,0.22463833716572215,0.060437073382701746,0.7111223769260017,0.0021726928717568034,0.0016295196538176023,0.48136010573771976,0.5186398942622802
Arapoti,PR,94.33,19090,20238,Média,Média,1.0,True,0.09506868267615377,0.09289455479790493,0.1962150410119577,0.1891985374048819,0.1680996145864216,0.13449945646803044,0.12402411305464967,0.5988734064630893,0.048374345291036666,0.3498863524063643,0.0018282438976183416,0.0010376519418914913,0.4935270283624864,0.5064729716375136
Mato Queimado,RS,96.89,1462,1509,Média,Média,1.0,True,0.07422133863485753,0.060304837640821736,0.12856196156394964,0.15308151093439365,0.1656726308813784,0.18422796554009277,0.23392975480450628,0.8151093439363817,0.01855533465871438,0.1663353214049039,0.0,0.0,0.5102717031146454,0.4897282968853545
Brejo Santo,CE,83.98,34540,41127,Média,Média,1.0,True,0.0834245143093345,0.10970895032460427,0.21134534490723855,0.20653098937437692,0.14970700513044957,0.10963600554380334,0.12964719041019282,0.2887397573370292,0.06596639677097771,0.6439078950567754,0.0008267075157439152,0.000559243319473825,0.4800982323048119,0.519901767695188
Novo Santo Antônio,MT,92.94,1462,1573,Média,Média,1.0,True,0.10616656071201526,0.08137317228226319,0.18436109345200255,0.19516846789574063,0.17546090273363002,0.14113159567705022,0.11633820724729815,0.17482517482517482,0.16783216783216784,0.6395422759059123,0.0006357279084551812,0.017164653528289893,0.5251112523839797,0.47488874761602035
Alfredo Marcondes,SP,94.64,3493,3691,Média,Média,1.0,True,0.06691953400162558,0.07477648333784882,0.15253318883771336,0.166621511785424,0.16743429964779194,0.16391221891086427,0.20780276347873206,0.5662422107829856,0.057166079653210515,0.35762665944188565,0.01815226225955026,0.000812787862367922,0.4952587374695205,0.5047412625304796
Cascavel,CE,83.86,48796,58187,Média,Média,1.0,True,0.09003729355354288,0.09574303538591095,0.19921975699039304,0.19872136387852957,0.16266520013061336,0.12186570883530685,0.13174764122570334,0.2156151717737639,0.06604568030659769,0.7155378349115782,0.0013920635193428086,0.0014092494887174112,0.483372574630072,0.516627425369928
Dom Bosco,MG,91.49,2710,2962,Média,Média,1.0,True,0.09216745442268737,0.06549628629304524,0.1661039837947333,0.1826468602295746,0.16677920324105333,0.16948008102633355,0.1573261309925726,0.312288993923025,0.11039837947332883,0.575624577987846,0.001012829169480081,0.0006752194463200541,0.5293720459149224,0.4706279540850776
Irajuba,BA,77.45,3779,4879,Média,Média,1.0,True,0.10985857757737241,0.08792785406845666,0.14244722279155564,0.19430211108833778,0.16314818610370976,0.1332240213158434,0.16909202705472434,0.2111088337774134,0.17380610780897726,0.6087312973970076,0.004099200655872105,0.0022545603607296576,0.49374871899979506,0.506251281000205
Santa Juliana,MG,93.68,11541,12319,Média,Média,1.0,True,0.09895283708093189,0.11697378033931326,0.2291582108937414,0.20797142625213086,0.14432989690721648,0.10926211543144736,0.09335173309521877,0.4468706875558081,0.06120626674243039,0.48989366019969155,0.0017858592418215763,0.0002435262602483968,0.5113239711015505,0.4886760288984496
Herculândia,SP,94.53,7034,7441,Média,Média,1.0,True,0.09044483268377906,0.08520360166644268,0.17309501411100658,0.18115844644537024,0.16530036285445504,0.15051740357478832,0.15428033866415805,0.48689692245665905,0.053621825023518345,0.4526273350356135,0.005510012095148502,0.0013439053890606102,0.4909286386238409,0.5090713613761592
Várzea Paulista,SP,96.53,90013,93250,Baixa,Baixa,1.0,True,0.08318498659517426,0.09569973190348526,0.20430026809651475,0.208,0.16433243967828418,0.13072386058981234,0.11375871313672922,0.5399142091152815,0.08420375335120643,0.37315817694369974,0.002316353887399464,0.0004075067024128686,0.49143163538873996,0.5085683646112601
Rio Brilhante,MS,93.65,26580,28383,Média,Média,1.0,True,0.09956664200401649,0.1018919775922207,0.2093859000105697,0.21766550399887258,0.15688968748898988,0.11890920621498785,0.09569108269034281,0.4231758446957686,0.0675404291301131,0.49807983652186166,0.0021491738012190398,0.009054715851037592,0.5013212134023888,0.4986787865976112
Brejo do Cruz,PB,76.92,8373,10885,Média,Média,1.0,True,0.09471750114836931,0.09315571887919155,0.200367478180983,0.19026182820395038,0.15277905374368397,0.1369774919614148,0.131740927882407,0.3911805236564079,0.06311437758383096,0.5453376205787781,9.186954524575104e-05,0.0002756086357372531,0.48369315571887916,0.5163068442811208
Tabaí,RS,94.66,3388,3579,Média,Média,1.0,True,0.0726459905001397,0.08186644314054205,0.1628946633137748,0.16680637049455155,0.17211511595417714,0.1665269628387818,0.17714445375803298,0.8977367979882649,0.024308466051969825,0.07236658284436993,0.0,0.005588153115395362,0.4953897736797988,0.5046102263202011
Brotas,SP,96.8,19043,19673,Média,Baixa,1.0,False,0.08407462003761501,0.08280384283027499,0.1699791592537996,0.18817668886290856,0.17063996340161644,0.14497026381334824,0.15935546180043714,0.6814415696640065,0.05403344685609719,0.26076348294616986,0.00274487876785442,0.0010166217658720074,0.4834036496721395,0.5165963503278606
Inhambupe,BA,79.28,21027,26521,Média,Média,1.0,True,0.10542588891821575,0.10384223822631122,0.18871837411862297,0.198257984238905,0.1551977678066438,0.11341955431544813,0.1351381923758531,0.1407186757663738,0.28588665585762224,0.5692470118019682,0.0021492402247275744,0.0019984163493080953,0.4833905207194299,0.5166094792805701
Sete de Setembro,RS,95.72,1521,1589,Média,Média,1.0,True,0.06167400881057269,0.06041535556954059,0.11642542479546884,0.14096916299559473,0.1787287602265576,0.2013845185651353,0.24040276903713026,0.8753933291378225,0.013845185651353053,0.11076148521082442,0.0,0.0,0.5034612964128382,0.49653870358716173
Gramado,RS,98.52,32438,32926,Baixa,Baixa,1.0,True,0.07216181740873474,0.08646662212233493,0.19437526574743363,0.20518738990463464,0.16540120269695682,0.138097552086497,0.13831015003340824,0.841098220251473,0.03164672295450404,0.1254631598129138,0.0005163092996416206,0.0012755876814675333,0.47643199902812366,0.5235680009718763
